ID,DR,G,ND,WD,other
ID_QW9GQM,0.042610217,0.7130297,4.0524947e-06,0.24435465,1.3639037e-06
ID_G9VPQ9,0.07500789,0.73557484,0.0008809439,0.13643232,0.05210402
ID_QIMIEM,0.00010068987,0.2631335,3.523442e-08,0.73676133,4.4949065e-06
ID_TSINUQ,0.00026426805,0.8522152,0.00016469229,0.14735517,6.7470813e-07
ID_I7OOHH,0.24775125,0.43693665,4.4396802e-07,0.31531143,1.7200126e-07
ID_QG9HRD,0.4412278,0.5405245,9.545861e-07,0.018246172,6.380247e-07
ID_4H8KV9,0.24640568,0.2716438,8.8508765e-05,0.48150533,0.0003566325
ID_QG7V9L,0.17631547,0.1074076,0.055594366,0.24685888,0.41382366
ID_JD7LXZ,0.045998946,0.56771904,0.00035903224,0.3858662,5.6770055e-05
ID_SHOLMQ,0.08401783,0.83239716,1.0811631e-06,0.0831958,0.00038811826
ID_33PCW7,0.02445599,0.04348445,9.967749e-07,0.93205804,5.515497e-07
ID_M6GY9M,0.6640736,0.13794827,7.3583175e-07,0.19795322,2.4211737e-05
ID_VQIRFJ,0.00039976617,0.3528896,1.8900264e-06,0.6442148,0.0024939321
ID_6R1XNE,0.00036938887,0.9818366,2.4120477e-06,0.017791128,4.4426898e-07
ID_FKC2OS,0.0013365613,0.26785967,0.0009495556,0.72983277,2.1458452e-05
ID_0JHFOF,0.32852396,0.6641659,9.575633e-07,0.007306389,2.7416509e-06
ID_I0FQA2,0.0010477197,0.9542478,3.0469816e-09,0.04469543,9.0667045e-06
ID_DUVQWO,0.94543207,0.0016730357,1.1095962e-06,0.052893803,2.556013e-08
ID_TH5J2W,0.61200505,0.04880713,7.428166e-08,0.3389559,0.00023187291
ID_OSXVWB,0.032548834,0.9330332,0.00047613902,0.033399694,0.0005420969
ID_0N9CWU,0.489819,0.014591167,5.417527e-08,0.495457,0.00013278145
ID_FF1PBK,0.22458817,0.75385386,1.4967063e-05,0.021542992,8.4968995e-08
ID_UHC8IE,0.00019028991,0.47717184,2.3435416e-09,0.5225822,5.574818e-05
ID_F4N0AP,0.0035102302,0.78877974,2.3757748e-07,0.20770805,1.7598584e-06
ID_DUICYW,0.0013391945,0.45005456,5.5358846e-08,0.54857665,2.9517105e-05
ID_8L14AJ,0.02410418,0.87995523,0.00016869562,0.09577149,4.0946813e-07
ID_LKQ2J6,0.0003513815,0.99908483,3.4171723e-07,0.00056342816,7.1758616e-10
ID_LZ4WMI,0.6527483,0.067597054,0.015776206,0.26384604,3.2437623e-05
ID_607DHU,0.0038465892,0.35773963,7.930179e-07,0.63841283,1.7800403e-07
ID_NUEM53,6.5960754e-05,0.105639614,0.00016029022,0.8941341,3.2922863e-08
ID_KE4OQG,0.5327725,0.43318042,2.1038906e-08,0.03404592,1.1763384e-06
ID_X38F51,0.97807777,0.016441585,4.26532e-05,0.005437521,4.815692e-07
ID_50N8E5,0.0005650878,0.6737915,7.1518787e-07,0.32564256,1.6168354e-07
ID_83S89D,0.00032841243,0.16013032,3.6882934e-08,0.8395407,5.3943313e-07
ID_Y502JL,1.6646562e-05,0.06944073,8.603921e-08,0.9303888,0.00015373713
ID_1SG38X,0.029551845,0.9227758,3.3340225e-06,0.03972472,0.00794438
ID_MBTN48,0.022720827,0.27556506,2.4050005e-05,0.5320352,0.16965489
ID_XVOWGU,0.048798654,0.819724,1.8302184e-07,0.13147706,1.4609151e-07
ID_C6FDZO,0.00089660473,0.9550459,1.3027704e-07,0.044056118,1.3220216e-06
ID_OSC2WN,0.0003932767,0.11007438,6.7830297e-07,0.8895275,4.183391e-06
ID_A5HLKA,0.002231774,0.052207656,1.0727336e-09,0.9455606,4.0841313e-09
ID_9QRLSH,0.00031139795,0.23539689,4.9776672e-06,0.7624807,0.0018059864
ID_QNW1NG,0.012239306,0.23545314,0.009086811,0.7082426,0.03497813
ID_IKVV79,1.9476121e-05,0.07609354,0.0010362726,0.9228503,3.2922406e-07
ID_X5DZFW,0.0045635025,0.22995056,0.0023388092,0.7630376,0.0001095218
ID_ZZ9YVT,0.025544126,0.9068929,9.403035e-09,0.06746872,9.425194e-05
ID_IUFHIE,0.14428024,0.720928,8.959621e-08,0.1335239,0.0012677616
ID_2CXE6Z,0.002607802,0.6083229,1.8568444e-07,0.38906866,4.180355e-07
ID_5ZB9UR,0.43376637,0.023633126,7.41472e-06,0.5425722,2.0924605e-05
ID_DQ168L,0.00031972004,0.954622,1.3382699e-05,0.04504484,1.5710806e-07
ID_ECMHM8,0.0026756185,0.14829715,0.0002163444,0.8487794,3.14958e-05
ID_7XHCO7,0.005023364,0.10973124,4.0133364e-06,0.88523847,2.9918936e-06
ID_YWJOQY,0.98737866,0.008961516,2.7884866e-07,0.0036573727,2.272256e-06
ID_VHT7FC,0.0064741867,0.5582985,2.2669676e-07,0.39354703,0.041680023
ID_5DX5XW,0.010929388,0.8845129,1.912486e-07,0.1045572,3.8281638e-07
ID_B6W5FW,0.6102205,0.01212476,0.373854,0.003800685,2.1744356e-08
ID_A1EF00,0.0016001641,0.25327948,4.4482686e-06,0.745113,2.905061e-06
ID_PF4UDD,0.0018654793,0.16057917,1.5793117e-05,0.837499,4.049297e-05
