ID,DR,G,ND,WD,other
ID_QW9GQM,0.009150071,0.6720658,0.00045900076,0.3103468,0.007978376
ID_G9VPQ9,0.022859834,0.84169704,0.0046786843,0.043675903,0.08708854
ID_QIMIEM,0.0023790367,0.55572456,5.4525754e-05,0.43982062,0.0020212566
ID_TSINUQ,0.009273205,0.63972634,0.00036003432,0.3464295,0.004210912
ID_I7OOHH,0.22526537,0.39271075,0.0076613557,0.3702938,0.004068731
ID_QG9HRD,0.34581503,0.5966946,0.0004740945,0.05588898,0.001127375
ID_4H8KV9,0.08721838,0.37043586,0.011274406,0.52872616,0.0023452013
ID_QG7V9L,0.08508135,0.25031355,0.009242397,0.5293882,0.12597449
ID_JD7LXZ,0.0894965,0.6261905,0.0010135848,0.28105536,0.0022440562
ID_SHOLMQ,0.09034864,0.77030534,0.0034277197,0.11743661,0.018481756
ID_33PCW7,0.008465935,0.04499623,0.0011353927,0.9383809,0.007021482
ID_M6GY9M,0.718073,0.14263482,0.009897176,0.12700208,0.0023928836
ID_VQIRFJ,0.0045444905,0.28363487,0.00041531076,0.66468036,0.046724945
ID_6R1XNE,0.0011563867,0.9901883,2.59055e-05,0.008598496,3.0960324e-05
ID_FKC2OS,0.0029767891,0.2446416,0.0017223198,0.74617934,0.004479999
ID_0JHFOF,0.28951046,0.6253519,0.0025419248,0.08218099,0.00041466506
ID_I0FQA2,0.0029050068,0.9225025,2.3592547e-05,0.06963698,0.004931875
ID_DUVQWO,0.8131997,0.008881918,0.0876921,0.085280925,0.004945364
ID_TH5J2W,0.39025834,0.2033621,0.006122836,0.39476505,0.0054916865
ID_OSXVWB,0.0065055117,0.93325365,9.1988324e-05,0.059630875,0.0005179651
ID_0N9CWU,0.28210858,0.058937233,0.0064613987,0.6408108,0.011681973
ID_FF1PBK,0.18161073,0.74596596,0.0012052284,0.06837996,0.0028380987
ID_UHC8IE,0.0049657533,0.13903828,0.0012235626,0.8530597,0.0017126908
ID_F4N0AP,0.000671316,0.52333575,0.00015797478,0.4728645,0.0029704983
ID_DUICYW,0.0014021576,0.6137649,0.0009012849,0.3696847,0.0142469825
ID_8L14AJ,0.035384435,0.8518291,0.002180094,0.09234253,0.018263783
ID_LKQ2J6,0.0033580705,0.99581355,3.2886126e-06,0.00082178833,3.2314024e-06
ID_LZ4WMI,0.068031915,0.11428687,0.0044099702,0.78331846,0.029952772
ID_607DHU,0.002807819,0.107984975,8.42958e-05,0.88581604,0.0033069083
ID_NUEM53,0.0006463849,0.074398324,0.00016983399,0.92117,0.0036154746
ID_KE4OQG,0.26831892,0.5781506,0.00089030503,0.15082996,0.0018102311
ID_X38F51,0.6002306,0.23593333,0.00779346,0.15210894,0.003933685
ID_50N8E5,0.0074518956,0.75652194,0.0004462277,0.22484966,0.010730295
ID_83S89D,0.0019491315,0.36106357,0.00023245212,0.62183607,0.014918856
ID_Y502JL,0.00025829027,0.016159797,6.8135145e-05,0.9738116,0.009702149
ID_1SG38X,0.01752315,0.907551,9.45562e-05,0.07274711,0.0020841942
ID_MBTN48,0.05123503,0.2668834,0.004820461,0.5934009,0.08366023
ID_XVOWGU,0.015062593,0.8377094,0.0011352722,0.13946652,0.006626125
ID_C6FDZO,0.004802769,0.88040525,9.065798e-05,0.11351927,0.0011820992
ID_OSC2WN,0.0014967347,0.049800385,0.00022155751,0.934806,0.01367538
ID_A5HLKA,0.002992333,0.3151427,0.00037450404,0.6806133,0.0008771849
ID_9QRLSH,0.006978348,0.27287605,0.0006432996,0.69637793,0.023124436
ID_QNW1NG,0.003824465,0.54982585,0.000846711,0.44234544,0.003157482
ID_IKVV79,0.0033666173,0.017969035,0.00080296124,0.97604525,0.0018161227
ID_X5DZFW,0.008361945,0.34258,0.00028145016,0.64662987,0.0021467234
ID_ZZ9YVT,0.27377966,0.5688282,0.0013774618,0.15482573,0.0011889195
ID_IUFHIE,0.014133496,0.91856396,0.0005195301,0.051840086,0.014942923
ID_2CXE6Z,0.008732214,0.3353764,0.0014221163,0.6515439,0.0029253257
ID_5ZB9UR,0.28639635,0.07207107,0.018179784,0.62015563,0.0031971345
